Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,VWAP,Month,Year,Day_Perc_Change,Trend,signal,Bolinger,Upper Band,Lower Band
2017-07-17,MINDTREE,EQ,2017-07-17,514.95,515.9,520.35,512.15,514.25,514.0,517.04,819291,423604106.6,7607,495508,60.48,529.054927039388,7,2017,-0.0018448393047869605,Slight or No change,0.0,526.2124999999999,545.1794206501044,507.2455793498953
2017-07-18,MINDTREE,EQ,2017-07-18,514.0,516.9,516.9,506.0,507.15,508.4,510.12,462809,236088183.45,12582,157642,34.06,528.7344640776937,7,2017,-0.010894941634241316,Slight or No change,0.0,525.8374999999999,545.9262995764068,505.748700423593
2017-07-19,MINDTREE,EQ,2017-07-19,508.4,511.75,520.0,505.25,506.05,506.65,511.0,1084370,554107922.7,15183,251332,23.18,527.9598071752839,7,2017,-0.0034421715184893564,Slight or No change,0.0,525.1824999999998,546.895612094817,503.4693879051826
2017-07-20,MINDTREE,EQ,2017-07-20,506.65,485.0,500.0,482.5,484.65,484.3,489.92,2193659,1074726916.8,33883,564402,25.73,525.0669787174818,7,2017,-0.04411329320043411,Slight or No change,0.0,523.4174999999998,551.7662357000175,495.0687642999821
2017-07-21,MINDTREE,EQ,2017-07-21,484.3,486.9,487.7,478.75,484.9,484.25,482.52,783117,377868220.4,14024,308124,39.35,524.1238168979928,7,2017,-0.00010324179227749752,Slight or No change,0.0,521.5799999999997,554.914230865109,488.24576913489045
2017-07-24,MINDTREE,EQ,2017-07-24,484.25,485.0,489.9,482.1,483.5,483.55,485.61,291492,141550963.4,11053,101811,34.93,523.777820286031,7,2017,-0.0014455343314403455,Slight or No change,0.0,519.1574999999997,556.1451120798353,482.1698879201642
2017-07-25,MINDTREE,EQ,2017-07-25,483.55,485.6,485.6,475.0,481.95,481.85,480.58,357817,171961482.9,12055,91149,25.47,523.3434700447029,7,2017,-0.003515665391376266,Slight or No change,0.0,516.9174999999998,557.2679552247191,476.5670447752805
2017-07-26,MINDTREE,EQ,2017-07-26,481.85,481.9,484.3,479.1,480.0,480.2,481.03,224292,107890090.7,5630,84660,37.75,523.065117870716,7,2017,-0.003424302168724802,Slight or No change,0.0,514.3724999999997,557.2953129136592,471.44968708634025
2017-07-27,MINDTREE,EQ,2017-07-27,480.2,480.2,485.15,479.0,483.15,481.8,482.8,462695,223390930.3,12081,211090,45.62,522.523115034737,7,2017,0.0033319450229072345,Slight or No change,0.0,512.0274999999997,556.7416973803438,467.31330261965553
2017-07-28,MINDTREE,EQ,2017-07-28,481.8,483.15,483.15,476.75,479.0,479.5,478.9,118353,56679006.05,3282,42691,36.07,522.3790534713875,7,2017,-0.0047737650477376325,Slight or No change,0.0,509.55249999999967,555.7657753198623,463.3392246801371
2017-07-31,MINDTREE,EQ,2017-07-31,479.5,481.85,483.9,476.05,476.2,477.45,479.22,150644,72191931.1,3948,59542,39.52,522.1883761439161,7,2017,-0.004275286757038589,Slight or No change,0.0,506.97249999999974,554.3493928242885,459.5956071757109
2017-08-01,MINDTREE,EQ,2017-08-01,477.45,477.35,479.2,469.45,472.35,472.6,474.85,371419,176368459.9,13465,183546,49.42,521.6748728339394,8,2017,-0.010158131741543563,Slight or No change,0.0,503.8824999999998,551.7857937555602,455.9792062444394
2017-08-02,MINDTREE,EQ,2017-08-02,472.6,474.0,476.45,470.0,474.0,473.3,473.94,188148,89170151.1,9400,104624,55.61,521.4224396258461,8,2017,0.0014811680067710056,Slight or No change,0.0,500.4574999999998,546.7128243023514,454.2021756976483
2017-08-03,MINDTREE,EQ,2017-08-03,473.3,470.05,473.25,461.5,462.95,465.9,467.1,215576,100695910.1,8860,104754,48.59,521.0924448339794,8,2017,-0.015634903866469596,Slight or No change,0.0,496.5124999999998,540.2331187055936,452.79188129440604
2017-08-04,MINDTREE,EQ,2017-08-04,465.9,464.8,473.25,461.75,472.2,471.05,467.36,439102,205217474.7,7820,259684,59.14,520.493873332052,8,2017,0.011053874221936157,Slight or No change,0.0,493.1074999999998,533.3124784165292,452.90252158347045
2017-08-07,MINDTREE,EQ,2017-08-07,471.05,471.0,485.35,468.1,484.0,483.2,479.88,357082,171355877.05,7136,201284,56.37,520.1346094392055,8,2017,0.02579344018681673,Slight or No change,0.0,490.78499999999985,527.2989209213763,454.27107907862336
2017-08-08,MINDTREE,EQ,2017-08-08,483.2,482.0,483.35,468.9,471.5,473.65,474.53,275869,130907105.2,6067,75851,27.5,519.7912096706211,8,2017,-0.019764072847682116,Slight or No change,0.0,488.2324999999998,521.7808668909906,454.684133109009
2017-08-09,MINDTREE,EQ,2017-08-09,473.65,474.6,474.6,461.25,462.0,464.35,469.65,140954,66199261.05,6148,46116,32.72,519.582730902208,8,2017,-0.01963475139871207,Slight or No change,0.0,485.73499999999984,518.5412911168268,452.92870888317293
2017-08-10,MINDTREE,EQ,2017-08-10,464.35,461.7,465.65,442.45,453.95,451.3,456.27,220211,100476761.35,6685,70490,32.01,519.1839285536685,8,2017,-0.028103801012167584,Slight or No change,0.0,482.61249999999984,516.0730167953276,449.1519832046721
2017-08-11,MINDTREE,EQ,2017-08-11,451.3,450.0,461.2,440.6,455.05,457.15,454.54,238168,108257618.2,6132,85229,35.79,518.7945376291088,8,2017,0.01296255262574775,Slight or No change,0.0,479.72249999999974,511.3576316202642,448.08736837973527
2017-08-14,MINDTREE,EQ,2017-08-14,457.15,459.0,469.0,459.0,465.2,467.25,463.68,160503,74421797.1,5427,71505,44.55,518.5774147074292,8,2017,0.02209340479055011,Slight or No change,0.0,477.38499999999976,505.0105049965724,449.7594950034271
2017-08-16,MINDTREE,EQ,2017-08-16,467.25,469.1,470.0,461.5,468.05,468.0,464.89,123268,57306655.3,3741,46484,37.71,518.4143184026561,8,2017,0.0016051364365972098,Slight or No change,0.0,475.3649999999998,499.0719410222288,451.65805897777074
